Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1652528701,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1652528702,2,,Aggregated,0.000000,0.000000,6,6,6,6,6,7,7,7,16,16,16,166,0,6,5.9144246987951785,5.215100000000028,15.650300000000005,251.0
1652528703,3,,Aggregated,0.000000,0.000000,7,9,9,9,10,15,21,23,42,42,42,372,0,6,7.9422440860215175,5.215100000000028,42.17270000000006,251.0
1652528704,4,,Aggregated,130.000000,0.000000,9,10,14,15,22,27,39,46,97,97,97,523,0,9,11.397335755258135,5.215100000000028,96.89950000000013,302.64627151051627
1652528705,5,,Aggregated,163.500000,0.000000,10,15,18,21,29,42,54,66,97,97,97,669,0,10,14.88120403587443,5.215100000000028,96.89950000000013,328.72795216741406
1652528706,5,,Aggregated,163.666667,0.000000,15,21,24,26,33,42,61,67,97,97,97,846,0,15,17.598473404255312,5.215100000000028,96.89950000000013,333.57328605200945
1652528707,5,,Aggregated,158.000000,0.000000,18,23,26,28,35,46,63,67,88,97,97,1019,0,18,19.543298233562304,5.215100000000028,96.89950000000013,335.16781157998037
1652528708,5,,Aggregated,160.600000,0.000000,20,24,27,28,36,49,64,70,93,97,97,1190,0,20,20.974591008403348,5.215100000000028,96.89950000000013,338.02773109243697
1652528709,5,,Aggregated,162.666667,0.000000,22,25,27,29,37,51,64,69,93,97,97,1362,0,22,21.972716519823777,5.215100000000028,96.89950000000013,344.2246696035242
1652528710,5,,Aggregated,164.571429,0.000000,23,26,28,30,38,53,65,71,96,97,97,1522,0,22,22.927799802890892,5.215100000000028,96.89950000000013,346.1879106438896
1652528711,5,,Aggregated,164.875000,0.000000,23,26,28,30,39,55,67,72,97,100,100,1689,0,23,23.64856346950857,5.215100000000028,104.9503000000005,347.28241563055064
1652528712,5,,Aggregated,164.888889,0.000000,23,26,28,30,41,55,67,73,97,100,100,1856,0,23,24.1851730603448,5.215100000000028,104.9503000000005,349.20150862068965
1652528713,5,,Aggregated,165.100000,0.000000,23,26,29,30,42,55,67,72,96,100,100,2030,0,23,24.59551482758619,5.215100000000028,104.9503000000005,349.55320197044335
1652528714,5,,Aggregated,168.200000,0.000000,24,27,29,31,43,56,67,73,96,100,100,2198,0,23,25.00015850773428,5.215100000000028,104.9503000000005,349.19517743403094
1652528715,5,,Aggregated,165.800000,0.000000,24,27,29,31,44,56,67,72,96,100,100,2365,0,24,25.32225906976744,5.215100000000028,104.9503000000005,349.8295983086681
1652528716,5,,Aggregated,165.900000,0.000000,24,27,29,31,44,57,67,72,96,100,100,2526,0,24,25.696641369754545,5.215100000000028,104.9503000000005,350.57680126682504
1652528717,5,,Aggregated,169.000000,0.000000,24,27,30,32,45,57,68,74,96,100,100,2667,0,24,26.21398878890139,5.215100000000028,104.9503000000005,350.6857892763405
1652528718,5,,Aggregated,168.700000,0.000000,24,27,30,32,45,58,68,74,97,100,100,2835,0,24,26.408703774250398,5.215100000000028,104.9503000000005,351.75908289241625
1652528719,5,,Aggregated,164.800000,0.000000,24,28,30,33,45,58,68,75,100,110,110,2999,0,24,26.639416972324053,5.215100000000028,113.62510000000015,352.82994331443814
1652528720,5,,Aggregated,163.600000,0.000000,25,28,30,33,46,58,68,75,97,110,110,3152,0,25,26.93072065355329,5.215100000000028,113.62510000000015,353.0
1652528721,5,,Aggregated,164.000000,0.000000,25,28,31,33,46,59,69,76,100,140,140,3307,0,25,27.187383791956467,5.215100000000028,140.6400000000012,353.0635016631388
1652528722,5,,Aggregated,162.600000,0.000000,25,28,31,33,47,59,69,76,100,140,140,3471,0,25,27.33493995966581,5.215100000000028,140.6400000000012,353.8962834917891
1652528723,5,,Aggregated,161.400000,0.000000,25,28,31,33,47,60,70,76,110,140,140,3625,0,25,27.541620524137922,5.215100000000028,140.6400000000012,355.0253793103448
1652528724,5,,Aggregated,161.400000,0.000000,25,28,31,33,47,60,70,77,110,140,140,3791,0,25,27.654617409654456,5.215100000000028,140.6400000000012,353.6734370878396
1652528725,5,,Aggregated,159.700000,0.000000,25,28,31,33,47,60,70,79,110,140,140,3960,0,25,27.73295416666669,5.215100000000028,140.6400000000012,354.2762626262626
1652528726,5,,Aggregated,159.500000,0.000000,25,28,31,33,48,60,70,79,100,140,140,4121,0,25,27.8569753215239,5.215100000000028,140.6400000000012,354.12885222033486
1652528727,5,,Aggregated,159.200000,0.000000,25,28,31,33,48,60,70,79,100,140,140,4290,0,25,27.916048321678325,5.215100000000028,140.6400000000012,355.08321678321676
1652528728,5,,Aggregated,158.700000,0.000000,25,28,31,33,48,60,70,77,100,140,140,4467,0,25,27.945809603760935,5.215100000000028,140.6400000000012,355.7763599731363
1652528729,5,,Aggregated,162.300000,0.000000,25,28,31,33,48,60,70,77,110,140,140,4628,0,25,28.0449036084702,5.215100000000028,140.6400000000012,355.5481849611063
1652528730,5,,Aggregated,163.000000,0.000000,25,28,31,33,48,60,70,78,110,140,140,4795,0,25,28.123126673618362,5.215100000000028,140.6400000000012,357.2029197080292
1652528731,5,,Aggregated,161.900000,0.000000,25,28,31,33,48,60,70,77,110,140,140,4972,0,25,28.125219609814962,5.215100000000028,140.6400000000012,356.63274336283183
